key_1453364202 value_181834033
key_1498562946 value_542494828
key_839957386 value_1678764515
key_1560108702 value_22308464
key_311397198 value_116837656
key_1522516266 value_1463734029
key_67833343 value_179676702
key_307345329 value_1478873759
key_295050456 value_1620300337
key_628300055 value_821666299
key_1709369148 value_445569513
key_457740064 value_1335787992
key_934334263 value_1043881901
key_887988815 value_1039311171
key_275796261 value_1090030037
key_1557403364 value_1465949048
key_475727472 value_908482662
key_2008443876 value_1315684858
key_439763530 value_1421068931
key_1337993322 value_751160728
key_1537906587 value_713025941
key_67411109 value_1605739931
key_892702643 value_374756438
key_937130042 value_1187753100
key_1995056775 value_1565430098
key_2009419399 value_1556942275
key_2010999611 value_319675816
key_745246619 value_797850226
key_1363557717 value_1633235434
key_1837161397 value_1639353978
key_575781824 value_1247081113
key_957819379 value_1051509296
key_8080128 value_818779607
key_219710506 value_447843658
key_92364890 value_1557703828
key_1199004386 value_1630271478
key_123246121 value_1266415495
key_1088527761 value_1015948765
key_1641171933 value_2025657803
